Heating,Detector 1,Detector 2,Detector 3
0.5,0.177402,0.056914,0.080208
0.505247,0.177402,0.056914,0.080208
0.510495,0.177715,0.0572265,0.080208
0.515742,0.177402,0.0581641,0.0798956
0.52099,0.176777,0.0591016,0.0795831
0.526237,0.176465,0.0606641,0.0789581
0.531484,0.175527,0.0625391,0.0777083
0.536732,0.17459,0.0644142,0.0770833
0.541979,0.173964,0.0669142,0.0761459
0.547226,0.173339,0.0703518,0.0752085
0.552474,0.171777,0.0737893,0.0739587
0.557721,0.170839,0.0772269,0.0730213
0.562969,0.169276,0.0819145,0.0714589
0.568216,0.167089,0.0866021,0.0698966
0.573463,0.165526,0.0906647,0.0680218
0.578711,0.163338,0.0956648,0.0664595
0.583958,0.16115,0.10129,0.0648971
0.589205,0.15865,0.107227,0.0627099
0.594453,0.155837,0.113478,0.0605226
0.5997,0.153337,0.12004,0.0589603
0.604948,0.149899,0.126915,0.0570855
0.610195,0.147086,0.133478,0.0545857
0.615442,0.143335,0.141603,0.0527109
0.62069,0.13896,0.148791,0.0505236
0.625937,0.135834,0.156916,0.0480239
0.631184,0.132084,0.164729,0.0461491
0.636432,0.127708,0.173166,0.0436494
0.641679,0.123645,0.181291,0.0417746
0.646927,0.119582,0.190354,0.0398998
0.652174,0.114581,0.199104,0.0377125
0.657421,0.110518,0.206292,0.0358377
0.662669,0.105205,0.215667,0.0342754
0.667916,0.100517,0.22348,0.0317756
0.673163,0.0958284,0.231917,0.0302133
0.678411,0.0914528,0.239418,0.028026
0.683658,0.0861396,0.247543,0.0270886
0.688906,0.0814514,0.255668,0.0249013
0.694153,0.0770758,0.26223,0.023339
0.6994,0.0727002,0.270043,0.0230265
0.704648,0.0676995,0.276606,0.0211517
0.709895,0.0636364,0.283168,0.0205268
0.715142,0.0598859,0.289106,0.0192769
0.72039,0.0555102,0.295044,0.018652
0.725637,0.0511346,0.300356,0.0183395
0.730885,0.0473841,0.305669,0.0174021
0.736132,0.0439461,0.309731,0.0177146
0.741379,0.039883,0.314106,0.0174021
0.746627,0.0373827,0.317544,0.0174021
0.751874,0.0339447,0.320357,0.0174021
0.757121,0.0311318,0.322857,0.0183395
0.762369,0.028944,0.324107,0.0183395
0.767616,0.0267562,0.325044,0.0195894
0.772864,0.0248809,0.325044,0.0205268
0.778111,0.0230057,0.324732,0.0211517
0.783358,0.022068,0.324732,0.0224016
0.788606,0.0211304,0.323482,0.0239639
0.793853,0.0201928,0.320982,0.0252138
0.7991,0.0201928,0.318482,0.0270886
0.804348,0.0205053,0.314731,0.0292759
0.809595,0.0208178,0.310981,0.0311507
0.814843,0.022068,0.307544,0.0330255
